name,T,A,O
Judaism (Biblical),,,
Judaism (Rabbinic),,,
Kabbalah (Jewish Mysticism),,,
Hasidic Judaism,,,
Reform Judaism,,,
Reconstructionist Judaism,,,
Christianity (Catholic),,,
Christianity (Orthodox),,,
Christianity (Mainline Protestant),,,
Christianity (Evangelical),,,
Christianity (Pentecostal),,,
Christianity (Reformed/Calvinist),,,
Christianity (Liberation),,,
Christian Mysticism,,,
Mormonism (LDS),,,
Islam (Sunni),,,
Islam (Shia),,,
Islam (Sufi),,,
Islam (Ismaili),,,
Islam (Salafi),,,
Islam (Ahmadiyya),,,
Zoroastrianism,,,
Manichaeism,,,
Gnosticism (classical),,,
Hinduism (Vedanta-general),,,
Advaita Vedanta,,,
Hinduism (Bhakti),,,
Hinduism (Tantric),,,
Sikhism,,,
Jainism,,,
Buddhism (Theravada),,,
Buddhism (Mahayana),,,
Buddhism (Vajrayana),,,
Buddhism (Zen/Chan),,,
Buddhism (Pure Land),,,
Buddhism (Tiantai),,,
Buddhism (Tendai),,,
Buddhism (Shingon),,,
Buddhism (Nichiren),,,
Daoism (Taoism),,,
Confucianism,,,
Shinto,,,
Indigenous Animism,,,
Hermeticism,,,
Neoplatonism,,,
Stoicism,,,
Aristotelianism,,,
Existentialism,,,
Nietzsche (Eternal Recurrence),,,
Marxist Materialism,,,
Secular Humanism,,,
Enlightenment Rationalism,,,
Gaiaism / Deep Ecology,,,
Transhumanism,,,
Scientology,,,
New Age / Pantheism,,,
Bahá'í Faith,,,
Process Theology,,,
Atheist Physicalism,,,
Absurdism,,,
Postmodern Relativism,,,
Ancient Egyptian,,,
Mesopotamian (Sumerian/Akkadian),,,
Canaanite/Phoenician,,,
Hittite/Anatolian,,,
Hellenic Polytheism (Classical),,,
Orphism (Greek),,,
Eleusinian Mysteries,,,
Roman State Religion,,,
Roman Mithraism,,,
Early Vedic (Ṛgvedic),,,
Celtic (Druidic),,,
Norse/Germanic,,,
Thracian/Daсian (Zalmoxian),,,
Etruscan,,,
Minoan (Aegean),,,
Scythian/Sarmatian (Steppe),,,
